X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,Y
-2.388741261,6.221087263,3.442446542,1.273806774,0.912271605,8.908026662,8.441998714,-2.607862704,-7.539958619,5.810530278,-6.960355847,-2.460637557,-9.276179478,-4.184622843,-8.896233962,2
-6.012792498,-9.884412507,-1.590610264,4.999942567,0.24775845,-1.197048403,-10.93927215,1.53392656,7.638279289,6.033322855,6.045052304,-7.453783767,8.672266883,7.47484091,-6.603927493,0
2.270828532,-8.849332308,-6.619179196,-2.861520264,-6.720252565,5.715418436,6.493856714,-4.429523381,-3.821489621,-6.438497158,-8.818145951,3.422536142,3.37660461,-8.850959438,-0.717626273,1
-7.092420775,-10.25408106,-0.907320757,3.712682672,-0.567675541,0.254027487,-10.13537654,-0.412888069,8.421731707,6.706881879,4.189576395,-7.909424428,8.303048096,8.71182681,-6.57525983,0
-2.246293364,7.617936063,3.580218447,2.412760327,3.881735331,8.096439476,8.372886392,-4.65598948,-4.807351224,5.980022382,-9.098482643,-2.709957314,-9.063194393,-4.737576856,-8.630724104,2
-5.181930042,-8.128438483,-0.073618026,4.041203704,-4.648942973,-2.351986554,-10.3376683,-0.931649244,8.159191311,6.573465398,5.335564696,-7.175682279,6.933164784,8.644142176,-6.822206916,0
2.133057919,-9.518152328,-6.909023635,-4.252894458,-6.153554653,2.369213333,6.965297337,-2.807538494,-3.734118945,-8.618024319,-8.762699336,4.272249439,1.841029274,-10.13000773,-1.926217606,1
-5.788539523,-9.855617777,-0.816714754,4.917158674,0.886032249,-0.264374216,-9.854750443,-0.959896344,7.862524796,7.870324133,5.482179395,-9.137645048,6.756488963,6.549333507,-6.247315667,0
3.006929703,-8.87336303,-6.068953525,-4.665008301,-6.096767034,4.767952545,5.885219609,-4.303395851,-3.805679349,-7.722750074,-7.627605103,3.295464407,1.485264026,-10.38650242,-0.307766682,1
-7.034858028,-9.303199703,0.899171907,3.682531319,-0.542467367,-1.533671514,-10.87191928,1.290000029,8.311437586,5.304486189,3.496578823,-7.240022187,7.706192402,5.855714753,-6.483645162,0
3.829362405,-9.120907444,-7.062707638,-4.551243857,-7.655835946,4.728661963,7.53866755,-1.905851567,-3.965207868,-6.41157843,-8.63602387,3.070097264,1.514700436,-9.479433483,0.354391392,1
4.167474757,-9.014009502,-7.516749207,-2.418339179,-6.792245915,4.979572431,6.317360538,-3.484425477,-3.449661986,-7.19120361,-7.780042459,2.78302413,3.642260735,-8.85927481,-2.815015339,1
-4.027502144,5.232298394,5.840816505,0.544659114,-0.101004721,7.986278012,10.85462567,-3.192773075,-4.493477604,5.603012052,-8.808846307,-3.430547331,-8.422917575,-3.106232233,-9.542789536,2
-1.357651675,5.946576755,3.810224956,1.205507907,1.543100966,9.341967939,8.978547081,-4.527747575,-4.744241265,5.794887574,-7.55472093,-3.201706022,-7.879459071,-3.365476649,-8.739809574,2
-5.381636394,-10.07912608,-2.648661786,5.62996694,-1.669244673,1.042747899,-9.395570914,-0.72360433,7.246851828,7.740850081,4.750643146,-7.407079355,8.798324021,8.96532821,-6.193496021,0
-8.051063018,-8.175565779,-1.163699611,4.271727026,-1.331230476,0.125960757,-8.358431728,-1.443016667,8.336029021,5.963953385,5.025985462,-6.043816902,8.74006244,9.292180801,-7.502947578,0
-0.963152161,5.32361106,2.946416754,1.910353443,-1.017746995,7.376400568,11.55358412,-3.011967231,-5.217479257,5.85591266,-8.820112472,-2.878091638,-7.535771024,-1.476898885,-10.43592714,2
-2.350229155,7.13464246,4.521604864,3.747700812,0.837648666,10.62946859,8.549612543,-2.682096588,-5.867792541,6.112435872,-9.300734911,-3.115915385,-9.321729497,-3.659688315,-8.866311504,2
-2.721540426,7.890983625,5.094899914,3.32243104,-0.440704493,8.08274199,8.846719196,-2.302794822,-4.583825849,7.391732301,-7.319956663,-1.508282775,-9.760640361,-3.836682249,-7.735689462,2
-5.357802693,-8.475749478,-1.286379818,3.522572072,-0.952460087,0.639074814,-8.631888559,1.060156323,8.128995463,6.750844014,3.254299443,-7.474603962,8.569602952,7.394741242,-4.8033433,0
1.856499358,-9.270760901,-8.178278671,-1.990295804,-7.722439487,4.305187785,6.69073461,-3.334986962,-3.870669255,-7.864551986,-10.55551599,6.232957123,1.910162759,-9.303947397,-1.053468636,1
1.59123809,-10.75020484,-7.937719831,-4.512344279,-9.405189148,4.96388294,5.897905084,-3.271468593,-4.727124068,-7.517737146,-9.17509383,3.446802995,2.193899165,-9.734424214,-0.969112861,1
2.692343813,-9.558693732,-8.605557308,-3.526787372,-7.31789901,5.023408982,5.886771582,-3.310802047,-3.728882558,-7.940148979,-10.02610641,3.932312418,1.174981212,-7.408858824,-1.080166437,1
-2.186391748,6.69601212,5.775768456,2.914953784,-0.055801391,7.561597854,10.09930569,-2.053955721,-4.894465263,4.133449904,-8.369108688,-2.870762192,-8.657108051,-2.089350593,-9.58900514,2
-5.660887139,-11.300205,-0.377161358,3.438429902,-2.336369336,0.917289309,-11.4386889,-0.065117131,6.586389602,8.048527218,4.624200723,-8.607120922,8.606085665,6.658070277,-7.686065816,0
-0.12392613,7.188942592,4.760870341,1.073759229,1.191956657,9.018623732,10.48107587,-4.936143265,-4.650881728,5.375398807,-7.706471471,-2.996286484,-7.317423795,-4.785579772,-8.864812358,2
-2.348366017,6.813648443,5.152584823,1.807254447,0.711101613,8.616144209,9.367423253,-3.940245288,-6.517878635,5.988825711,-8.794022032,-0.716518205,-7.525167835,-2.159588211,-9.237565569,2
2.576556928,-10.91732259,-7.497890428,-4.320342711,-6.450983375,4.927726252,6.853408195,-3.402732439,-3.885666966,-6.494247365,-9.971544457,3.065609043,2.30961526,-7.936186846,-0.29534029,1
-2.765688904,6.435615717,5.448746507,1.275339428,2.176693406,9.886299149,8.041239156,-2.922921272,-6.080339427,7.833606492,-6.941804456,-3.765926733,-7.948833663,-2.321536198,-9.562418202,2
-5.307938728,-9.913666236,-3.252041574,5.374954655,-0.425134546,-1.851158428,-10.44849777,-0.473425557,11.00941119,6.765224571,5.560718612,-6.740875827,7.498422282,6.597540596,-7.481112869,0
5.400845598,-9.493679421,-8.815755381,-2.46084413,-5.743982015,3.828695491,6.976854267,-3.734151645,-2.685046651,-8.115249556,-7.542033628,4.298131348,3.133199995,-8.661674377,-0.065941869,1
-6.762230969,-8.868033793,-0.49605258,3.666948237,-2.36348713,0.032411357,-10.13245724,-0.910994535,10.32313264,6.972418497,2.575007954,-9.32043257,7.397246983,7.937434797,-4.929964093,0
