X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
5468.737967,1.703821619,-8613.627601,0.284718947,-1.585461915,-0.554724061,-1.023031053,-0.632593155,-73183.99886,-0.119019598,-0.801916201,0.189756892,-126.7816822
-13104.44921,-1.019682478,23061.17451,-0.820498074,-0.265239806,2.099420819,-0.316337569,-0.302272092,-327842.8234,-0.315071767,-1.925923085,-0.687342282,-166.5895181
6204.272157,0.734017867,133965.7651,-0.710428561,0.574379093,0.511245419,0.298125659,0.121694155,120237.0404,0.892857656,-0.47425693,0.172296015,171.8188177
23979.67237,-1.777480943,45514.77725,-0.148987481,-0.006399325,0.464724014,0.356851016,0.770953992,-121603.941,0.5074545,0.673495747,1.116824142,111.4907795
-2390.952073,-2.418137383,47102.19495,0.384587288,0.359032836,0.178320324,-1.063040194,0.995341176,139065.4241,1.572356609,0.33470867,-0.403580519,138.3298691
-13179.43101,1.164633313,-105830.4807,-0.578824033,-0.412424518,-0.156073561,0.79119697,1.38646347,63376.13414,1.328326081,0.837704161,0.23309928,-1.531001877
9214.626806,-0.101775586,17175.32882,-0.781819004,-0.926041693,0.923293082,0.995889984,-0.957856441,-61999.47266,-1.006005774,-0.897174821,-0.83838069,-13.7497925
-10128.57216,-1.003846651,-74573.30999,0.810860726,-0.409668691,0.616719251,0.067872702,-0.230043482,36935.96889,-0.137795027,-0.256398716,-0.88042817,-65.43292911
10762.06238,-0.321533614,-30650.42428,-1.108822004,-1.188803451,0.26687062,1.205491478,2.106657281,-175028.4038,0.331919455,-1.379403409,-0.539417577,-299.9698398
3004.656891,-0.601460926,-303399.9499,1.414293662,0.571494371,0.746806941,-0.035305013,2.405019451,99746.9777,-0.484660041,0.705735244,-1.776616171,-246.8831617
-3839.668341,-0.567620691,-128405.6571,0.789805472,0.277752119,0.872735991,-0.657526282,0.108348194,272576.1927,1.159781813,-0.677696268,-0.864292963,-98.38144214
-873.1625184,-1.37995002,164792.6311,0.646507965,0.317841074,1.365552465,-0.379425686,-1.636591341,111134.8165,0.877549438,0.621633007,-0.70985018,225.9307315
1462.114844,1.531270864,-29762.32959,0.3361063,-1.074459408,-0.977775736,-0.608998053,-1.585678249,131508.6913,-0.659610016,1.314752168,-1.012711797,4.211574681
9172.062495,0.959413582,-22322.86733,-0.240966254,0.644648354,-0.33355557,-0.36830043,2.499815826,173037.7912,0.566771485,-1.286504875,-0.203467929,20.33319157
-5630.078706,1.000168686,168719.8642,2.40345272,,-0.41722367,2.063291006,-1.83864007,4075.960454,0.873137002,-1.009475381,-0.002244206,2.474333913
21248.95672,0.236867727,86089.36287,1.306490219,1.324000893,0.144939776,-1.017376432,-0.33766951,-215116.0114,0.346082451,-0.791543792,-0.872296533,-38.90976917
13572.71409,1.086123614,186421.4528,-0.180327149,-0.282284359,-0.4739975,0.628301519,0.049100013,180985.3822,-1.905129203,0.009688491,-2.641075095,-59.70604208
25.74218085,0.524068915,6639.217052,-0.018892634,-1.485361731,-1.177060691,0.266043678,0.201855633,-1960.234051,0.833366672,-2.002314155,-2.382314634,-239.4473779
4759.260149,-0.86377081,90435.59855,0.854323436,0.041473497,-0.846265219,-0.875401633,-1.394888431,7857.97407,0.704184605,-0.672695131,-1.664686913,-111.0666221
13603.28663,1.156875635,50474.94537,0.521427507,-0.545087335,1.312244094,0.369927104,-0.768946743,-64830.9941,-0.718589605,-0.090932441,0.551471445,69.89134925
3399.415713,-1.661369317,12744.13707,-0.535343031,-1.647311844,-0.569185829,-0.219692995,1.122366976,10005.75302,-0.234614122,0.624243528,1.702797394,-7.640754355
11149.70491,-1.16557566,-55074.7046,0.775147555,-1.557776556,-0.074694522,-1.416322032,0.197487674,-326441.3228,-1.654781679,0.877224969,1.106679714,-173.046439
-10491.39633,-0.287215467,-26350.48611,0.727345385,-2.599577532,-1.937268301,-0.023960167,-0.804666159,-176616.4272,-1.36618632,-0.517281785,0.047079073,-232.0912035
-3438.341585,1.132532358,34380.0741,-0.262202994,0.013559978,-0.231657695,-0.148238007,1.028785868,86802.2504,0.575124091,-1.174292064,0.392826372,42.63122769
